!!SBtab TableType='Quantity' Unit='mmol/gCDW/s' Organism='Escherichia coli' Reference='Davidi 2016' SBtabVersion='1.0' Date='2019-06-10'																																	
!QuantityType	!Reaction	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S	!Reaction:Identifiers:kegg.reaction
rate of reaction	CTECOAI7_reverse	4.60E-06	5.00E-06	8.40E-06	8.80E-06	8.80E-06	9.20E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.30E-05	2.30E-05	2.40E-05	2.60E-05	2.70E-05	2.80E-05	
rate of reaction	CTPS2	4.90E-06	5.40E-06	8.90E-06	9.40E-06	9.40E-06	9.80E-06	1.20E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.60E-05	1.60E-05	1.80E-05	1.80E-05	1.80E-05	1.90E-05	2.00E-05	2.10E-05	2.10E-05	2.10E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.50E-05	2.50E-05	2.60E-05	2.80E-05	2.90E-05	2.90E-05	R00573
rate of reaction	CYTK1	5.50E-06	6.00E-06	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.50E-05	1.60E-05	1.60E-05	1.80E-05	1.80E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.30E-05	2.30E-05	2.40E-05	2.40E-05	2.50E-05	2.50E-05	2.60E-05	2.80E-05	2.80E-05	2.90E-05	3.20E-05	3.30E-05	3.30E-05	R00512
rate of reaction	DALAt2pp	4.20E-07	4.60E-07	7.70E-07	8.10E-07	8.10E-07	8.50E-07	1.00E-06	1.00E-06	1.20E-06	1.20E-06	1.20E-06	1.40E-06	1.40E-06	1.50E-06	1.50E-06	1.60E-06	1.60E-06	1.70E-06	1.80E-06	1.80E-06	1.80E-06	1.80E-06	1.90E-06	1.90E-06	2.00E-06	2.10E-06	2.10E-06	2.20E-06	2.40E-06	2.50E-06	2.50E-06	
rate of reaction	DAPDC	1.00E-05	1.10E-05	1.90E-05	2.00E-05	2.00E-05	2.10E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.00E-05	3.30E-05	3.40E-05	3.80E-05	3.80E-05	3.90E-05	4.00E-05	4.20E-05	4.40E-05	4.40E-05	4.50E-05	4.50E-05	4.70E-05	4.80E-05	4.90E-05	5.20E-05	5.20E-05	5.50E-05	6.00E-05	6.20E-05	6.30E-05	R00451
rate of reaction	DAPE	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	R02735
rate of reaction	DASYN160	1.90E-06	2.10E-06	3.50E-06	3.70E-06	3.70E-06	3.90E-06	4.60E-06	4.60E-06	5.30E-06	5.50E-06	5.50E-06	6.20E-06	6.40E-06	7.10E-06	7.10E-06	7.30E-06	7.40E-06	7.80E-06	8.20E-06	8.20E-06	8.30E-06	8.30E-06	8.70E-06	8.90E-06	9.00E-06	9.70E-06	9.70E-06	1.00E-05	1.10E-05	1.20E-05	1.20E-05	
rate of reaction	DASYN161	2.30E-06	2.50E-06	4.20E-06	4.40E-06	4.40E-06	4.60E-06	5.40E-06	5.40E-06	6.30E-06	6.50E-06	6.50E-06	7.30E-06	7.50E-06	8.40E-06	8.40E-06	8.60E-06	8.80E-06	9.20E-06	9.60E-06	9.60E-06	9.80E-06	9.80E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	
rate of reaction	DB4PS	2.70E-08	3.00E-08	5.00E-08	5.20E-08	5.20E-08	5.50E-08	6.40E-08	6.40E-08	7.40E-08	7.70E-08	7.70E-08	8.70E-08	8.90E-08	9.90E-08	9.90E-08	1.00E-07	1.00E-07	1.10E-07	1.10E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	1.20E-07	1.30E-07	1.40E-07	1.40E-07	1.40E-07	1.60E-07	1.60E-07	1.60E-07	R07281
rate of reaction	DBTS	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R03182
rate of reaction	DHAD1	2.70E-05	2.90E-05	4.90E-05	5.10E-05	5.10E-05	5.30E-05	6.30E-05	6.30E-05	7.30E-05	7.50E-05	7.50E-05	8.50E-05	8.70E-05	9.70E-05	9.70E-05	1.00E-04	1.00E-04	1.10E-04	1.10E-04	1.10E-04	1.10E-04	1.10E-04	1.20E-04	1.20E-04	1.20E-04	1.30E-04	1.30E-04	1.40E-04	1.50E-04	1.60E-04	1.60E-04	R04441
rate of reaction	DHAD2	8.90E-06	9.70E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.40E-05	2.50E-05	2.50E-05	2.80E-05	2.90E-05	3.20E-05	3.20E-05	3.30E-05	3.40E-05	3.60E-05	3.70E-05	3.70E-05	3.80E-05	3.80E-05	4.00E-05	4.00E-05	4.10E-05	4.40E-05	4.40E-05	4.70E-05	5.10E-05	5.20E-05	5.30E-05	R05070
rate of reaction	DHDPRy	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	
rate of reaction	DHDPS	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	
rate of reaction	DHFS	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R02237
rate of reaction	DHNPA2r	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R03504
rate of reaction	DHORD2	1.00E-05	1.10E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.40E-05	2.40E-05	2.80E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.70E-05	3.70E-05	3.80E-05	3.90E-05	4.00E-05	4.20E-05	4.20E-05	4.30E-05	4.30E-05	4.50E-05	4.60E-05	4.70E-05	5.10E-05	5.10E-05	5.30E-05	5.80E-05	6.00E-05	6.10E-05	
rate of reaction	DHORTS_reverse	1.00E-05	1.10E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.40E-05	2.40E-05	2.80E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.70E-05	3.70E-05	3.80E-05	3.90E-05	4.00E-05	4.20E-05	4.20E-05	4.30E-05	4.30E-05	4.50E-05	4.60E-05	4.70E-05	5.10E-05	5.10E-05	5.30E-05	5.80E-05	6.00E-05	6.10E-05	
rate of reaction	DHPPDA2	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R03459
rate of reaction	DHPS2	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R03067
rate of reaction	DHQS	1.20E-05	1.30E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.30E-05	3.70E-05	3.80E-05	4.20E-05	4.20E-05	4.30E-05	4.40E-05	4.70E-05	4.90E-05	4.90E-05	5.00E-05	5.00E-05	5.20E-05	5.30E-05	5.40E-05	5.80E-05	5.80E-05	6.10E-05	6.70E-05	6.90E-05	7.00E-05	R03083
rate of reaction	DHQTi	1.20E-05	1.30E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.30E-05	3.70E-05	3.80E-05	4.20E-05	4.20E-05	4.30E-05	4.40E-05	4.70E-05	4.90E-05	4.90E-05	5.00E-05	5.00E-05	5.20E-05	5.30E-05	5.40E-05	5.80E-05	5.80E-05	6.10E-05	6.70E-05	6.90E-05	7.00E-05	R03084
rate of reaction	DMATT	8.50E-09	9.30E-09	1.50E-08	1.60E-08	1.60E-08	1.70E-08	2.00E-08	2.00E-08	2.30E-08	2.40E-08	2.40E-08	2.70E-08	2.80E-08	3.10E-08	3.10E-08	3.20E-08	3.20E-08	3.40E-08	3.60E-08	3.60E-08	3.60E-08	3.60E-08	3.80E-08	3.90E-08	3.90E-08	4.20E-08	4.20E-08	4.50E-08	4.90E-08	5.00E-08	5.10E-08	R01658
rate of reaction	DMPPS	8.50E-09	9.30E-09	1.50E-08	1.60E-08	1.60E-08	1.70E-08	2.00E-08	2.00E-08	2.30E-08	2.40E-08	2.40E-08	2.70E-08	2.80E-08	3.10E-08	3.10E-08	3.20E-08	3.20E-08	3.40E-08	3.60E-08	3.60E-08	3.60E-08	3.60E-08	3.80E-08	3.90E-08	3.90E-08	4.20E-08	4.20E-08	4.50E-08	4.90E-08	5.00E-08	5.10E-08	
rate of reaction	DPCOAK	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R00130
rate of reaction	DTMPK	8.00E-07	8.70E-07	1.50E-06	1.50E-06	1.50E-06	1.60E-06	1.90E-06	1.90E-06	2.20E-06	2.30E-06	2.30E-06	2.50E-06	2.60E-06	2.90E-06	2.90E-06	3.00E-06	3.10E-06	3.20E-06	3.30E-06	3.30E-06	3.40E-06	3.40E-06	3.60E-06	3.60E-06	3.70E-06	4.00E-06	4.00E-06	4.20E-06	4.60E-06	4.70E-06	4.80E-06	R02094
rate of reaction	DXPRIi	7.30E-08	8.00E-08	1.30E-07	1.40E-07	1.40E-07	1.50E-07	1.70E-07	1.70E-07	2.00E-07	2.10E-07	2.10E-07	2.30E-07	2.40E-07	2.70E-07	2.70E-07	2.70E-07	2.80E-07	2.90E-07	3.10E-07	3.10E-07	3.10E-07	3.10E-07	3.30E-07	3.30E-07	3.40E-07	3.60E-07	3.60E-07	3.80E-07	4.20E-07	4.30E-07	4.40E-07	R05688
rate of reaction	DXPS	8.70E-08	9.40E-08	1.60E-07	1.70E-07	1.70E-07	1.70E-07	2.00E-07	2.00E-07	2.40E-07	2.40E-07	2.40E-07	2.80E-07	2.80E-07	3.10E-07	3.10E-07	3.20E-07	3.30E-07	3.50E-07	3.60E-07	3.60E-07	3.70E-07	3.70E-07	3.90E-07	3.90E-07	4.00E-07	4.30E-07	4.30E-07	4.60E-07	5.00E-07	5.10E-07	5.20E-07	R05636
rate of reaction	EGMEACPR	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R10118
rate of reaction	ENO	5.40E-04	5.80E-04	9.10E-04	9.50E-04	9.50E-04	9.90E-04	1.20E-03	1.20E-03	1.30E-03	1.40E-03	1.40E-03	1.50E-03	1.60E-03	8.90E-04	1.70E-03	1.80E-03	1.40E-03	1.30E-03	2.00E-03	2.00E-03	1.80E-03	2.00E-03	2.10E-03	2.10E-03	2.20E-03	2.30E-03	2.30E-03	2.50E-03	2.70E-03	2.80E-03	2.80E-03	R00658
rate of reaction	EPMEACPR	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R10122
rate of reaction	FACOAE120	2.40E-06	2.60E-06	4.30E-06	4.50E-06	4.50E-06	4.80E-06	5.60E-06	5.60E-06	6.50E-06	6.70E-06	6.70E-06	7.60E-06	7.80E-06	8.60E-06	8.60E-06	8.90E-06	9.10E-06	9.50E-06	9.90E-06	9.90E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.40E-05	
rate of reaction	FACOAE160	3.90E-06	4.30E-06	7.10E-06	7.40E-06	7.40E-06	7.80E-06	9.20E-06	9.20E-06	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.50E-05	1.60E-05	1.60E-05	1.60E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.10E-05	2.20E-05	2.30E-05	2.30E-05	R01274
rate of reaction	FACOAE161	4.60E-06	5.00E-06	8.40E-06	8.80E-06	8.80E-06	9.20E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.30E-05	2.30E-05	2.40E-05	2.60E-05	2.70E-05	2.80E-05	
rate of reaction	FADRx	6.70E-05	7.30E-05	1.20E-04	1.30E-04	1.30E-04	1.30E-04	1.60E-04	1.60E-04	1.80E-04	1.90E-04	1.90E-04	2.10E-04	2.20E-04	2.40E-04	2.40E-04	2.50E-04	2.60E-04	2.70E-04	2.80E-04	2.80E-04	2.90E-04	2.90E-04	3.00E-04	3.00E-04	3.10E-04	3.30E-04	3.30E-04	3.50E-04	3.80E-04	3.90E-04	4.00E-04	R09748
rate of reaction	FBA3	2.50E-05	2.90E-05	5.70E-05	6.10E-05	6.10E-05	6.50E-05	7.90E-05	7.90E-05	9.30E-05	9.70E-05	9.70E-05	1.10E-04	1.10E-04	1.30E-04	1.30E-04	1.30E-04	7.20E-05	1.00E-04	1.50E-04	1.50E-04		1.50E-04	1.60E-04	1.70E-04	1.70E-04	1.80E-04	1.80E-04	1.90E-04	2.10E-04	2.20E-04	2.20E-04	R01829
rate of reaction	FMNAT	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	
rate of reaction	G1PACT	2.90E-06	3.10E-06	5.20E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.10E-06	8.10E-06	9.20E-06	9.40E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	G1SAT	1.10E-07	1.20E-07	2.00E-07	2.10E-07	2.10E-07	2.20E-07	2.60E-07	2.60E-07	3.00E-07	3.10E-07	3.10E-07	3.50E-07	3.60E-07	4.00E-07	4.00E-07	4.10E-07	4.20E-07	4.40E-07	4.60E-07	4.60E-07	4.70E-07	4.70E-07	4.90E-07	5.00E-07	5.10E-07	5.50E-07	5.50E-07	5.70E-07	6.20E-07	6.40E-07	6.50E-07	R02272
rate of reaction	G3PD2_reverse	4.20E-06	4.60E-06	7.70E-06	8.10E-06	8.10E-06	8.50E-06	1.00E-05	1.00E-05	1.20E-05	1.20E-05	1.20E-05	1.40E-05	1.40E-05	1.50E-05	1.50E-05	1.60E-05	1.60E-05	1.70E-05	1.80E-05	1.80E-05		1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.40E-05	2.50E-05	2.50E-05	
rate of reaction	G5SD	6.80E-06	7.40E-06	1.20E-05	1.30E-05	1.30E-05	1.40E-05	1.60E-05	1.60E-05	1.80E-05	1.90E-05	1.90E-05	2.10E-05	2.20E-05	2.50E-05	2.50E-05	2.50E-05	2.60E-05	2.70E-05	2.80E-05	2.80E-05	2.90E-05	2.90E-05	3.00E-05	3.10E-05	3.10E-05	3.40E-05	3.40E-05	3.60E-05	3.90E-05	4.00E-05	4.10E-05	
rate of reaction	G6PDH2r	9.30E-05	1.10E-04	2.00E-04	2.20E-04	2.20E-04	2.30E-04	2.80E-04	2.80E-04	3.30E-04	3.40E-04	3.40E-04	3.90E-04	4.00E-04	4.70E-04	4.50E-04	4.70E-04	2.90E-04	3.80E-04	5.30E-04	5.30E-04	1.70E-04	5.40E-04	5.70E-04	5.80E-04	5.90E-04	6.40E-04	6.40E-04	6.80E-04	7.40E-04	7.60E-04	7.80E-04	R00835
rate of reaction	GAPD	5.90E-04	6.40E-04	1.00E-03	1.10E-03	1.10E-03	1.10E-03	1.30E-03	1.30E-03	1.50E-03	1.50E-03	1.50E-03	1.70E-03	1.70E-03	1.10E-03	1.90E-03	2.00E-03	1.60E-03	1.50E-03	2.20E-03	2.20E-03	2.00E-03	2.20E-03	2.30E-03	2.40E-03	2.40E-03	2.60E-03	2.60E-03	2.70E-03	3.00E-03	3.10E-03	3.10E-03	R01061
rate of reaction	GARFT	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.80E-05	3.80E-05	4.30E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.40E-05	5.70E-05	5.70E-05	5.90E-05	5.80E-05	6.10E-05	6.20E-05	6.30E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.00E-05	8.20E-05	
rate of reaction	GART	7.50E-08	8.20E-08	1.40E-07	1.40E-07	1.40E-07	1.50E-07	1.80E-07	1.80E-07	2.00E-07	2.10E-07	2.10E-07	2.40E-07	2.50E-07	2.70E-07	2.70E-07	2.80E-07	2.90E-07	3.00E-07	3.10E-07	3.10E-07		3.20E-07	3.30E-07	3.40E-07	3.50E-07	3.70E-07	3.70E-07	4.00E-07	4.30E-07	4.40E-07	4.50E-07	R06974
rate of reaction	GCALDD	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R01333
rate of reaction	GF6PTA	2.90E-06	3.10E-06	5.20E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.10E-06	8.10E-06	9.20E-06	9.40E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.20E-05		1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	GHMT2r	3.40E-05	3.70E-05	6.20E-05	6.50E-05	6.50E-05	6.80E-05	8.10E-05	8.10E-05	9.30E-05	9.60E-05	9.60E-05	1.10E-04	1.10E-04	1.20E-04	1.20E-04	1.30E-04	1.30E-04	1.40E-04	1.40E-04	1.40E-04	1.50E-04	1.50E-04	1.50E-04	1.50E-04	1.60E-04	1.70E-04	1.70E-04	1.80E-04	2.00E-04	2.00E-04	2.00E-04	R00945
rate of reaction	GK1	7.40E-06	8.10E-06	1.40E-05	1.40E-05	1.40E-05	1.50E-05	1.80E-05	1.80E-05	2.00E-05	2.10E-05	2.10E-05	2.40E-05	2.40E-05	2.70E-05	2.70E-05	2.80E-05	2.80E-05	3.00E-05	3.10E-05	3.10E-05	3.20E-05	3.20E-05	3.30E-05	3.40E-05	3.50E-05	3.70E-05	3.70E-05	3.90E-05	4.30E-05	4.40E-05	4.50E-05	R00332
rate of reaction	GLU5K	6.80E-06	7.40E-06	1.20E-05	1.30E-05	1.30E-05	1.40E-05	1.60E-05	1.60E-05	1.80E-05	1.90E-05	1.90E-05	2.10E-05	2.20E-05	2.50E-05	2.50E-05	2.50E-05	2.60E-05	2.70E-05	2.80E-05	2.80E-05	2.90E-05	2.90E-05	3.00E-05	3.10E-05	3.10E-05	3.40E-05	3.40E-05	3.60E-05	3.90E-05	4.00E-05	4.10E-05	R00239
rate of reaction	GLUDy_reverse	2.60E-04	2.90E-04	4.80E-04	5.00E-04	5.00E-04	5.20E-04	6.20E-04	6.20E-04	7.10E-04	7.40E-04	7.40E-04	8.30E-04	8.60E-04	9.50E-04	9.50E-04	9.70E-04	1.00E-03	1.00E-03	1.10E-03	1.10E-03	1.10E-03	1.10E-03	1.20E-03	1.20E-03	1.20E-03	1.30E-03	1.30E-03	1.40E-03	1.50E-03	1.50E-03	1.60E-03	
rate of reaction	GLUPRT	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.90E-05	5.90E-05	6.10E-05	6.20E-05	6.40E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	R01072
rate of reaction	GLUR_reverse	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	
rate of reaction	GLUTRS	1.10E-07	1.20E-07	2.00E-07	2.10E-07	2.10E-07	2.20E-07	2.60E-07	2.60E-07	3.00E-07	3.10E-07	3.10E-07	3.50E-07	3.60E-07	4.00E-07	4.00E-07	4.10E-07	4.20E-07	4.40E-07	4.60E-07	4.60E-07	4.70E-07	4.70E-07	4.90E-07	5.00E-07	5.10E-07	5.50E-07	5.50E-07	5.70E-07	6.20E-07	6.40E-07	6.50E-07	R05578
rate of reaction	GMPS2	7.40E-06	8.10E-06	1.40E-05	1.40E-05	1.40E-05	1.50E-05	1.80E-05	1.80E-05	2.00E-05	2.10E-05	2.10E-05	2.40E-05	2.40E-05	2.70E-05	2.70E-05	2.80E-05	2.80E-05	3.00E-05	3.10E-05	3.10E-05	3.20E-05	3.20E-05	3.30E-05	3.40E-05	3.50E-05	3.70E-05	3.70E-05	3.90E-05	4.30E-05	4.40E-05	4.50E-05	R01231
rate of reaction	GND	9.30E-05	1.10E-04	2.00E-04	2.20E-04	2.20E-04	2.30E-04	2.80E-04	2.80E-04	3.30E-04	3.40E-04	3.40E-04	3.90E-04	4.00E-04	4.70E-04	4.50E-04	4.70E-04	2.90E-04	3.80E-04	5.30E-04	5.30E-04	1.70E-04	5.40E-04	5.70E-04	5.80E-04	5.90E-04	6.40E-04	6.40E-04	6.80E-04	7.40E-04	7.60E-04	7.80E-04	R01528
rate of reaction	GRTT	8.50E-09	9.30E-09	1.50E-08	1.60E-08	1.60E-08	1.70E-08	2.00E-08	2.00E-08	2.30E-08	2.40E-08	2.40E-08	2.70E-08	2.80E-08	3.10E-08	3.10E-08	3.20E-08	3.20E-08	3.40E-08	3.60E-08	3.60E-08	3.60E-08	3.60E-08	3.80E-08	3.90E-08	3.90E-08	4.20E-08	4.20E-08	4.50E-08	4.90E-08	5.00E-08	5.10E-08	
